date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Gujarat,Ahmadabad,380054,1,0,0
01-09-2025,Gujarat,Ahmadabad,382350,3,0,0
01-06-2025,Gujarat,Ahmadabad,380001,210,159,14
01-06-2025,Gujarat,Ahmadabad,382445,61,89,11
01-07-2025,Gujarat,Ahmadabad,382220,208,114,16
01-07-2025,Gujarat,Ahmadabad,380016,153,106,12
03-09-2025,Gujarat,Ahmadabad,380058,0,2,0
03-09-2025,Gujarat,Ahmadabad,380061,1,0,0
03-09-2025,Gujarat,Ahmadabad,382440,0,1,0
02-09-2025,Gujarat,Ahmadabad,380001,0,1,0
02-09-2025,Gujarat,Ahmadabad,382470,1,0,0
05-09-2025,Gujarat,Ahmadabad,380016,1,0,0
06-09-2025,Gujarat,Ahmadabad,380006,1,0,0
06-09-2025,Gujarat,Ahmadabad,380013,2,0,0
06-09-2025,Gujarat,Ahmadabad,380015,3,1,0
06-09-2025,Gujarat,Ahmadabad,382449,0,2,0
08-09-2025,Gujarat,Ahmadabad,380021,0,1,0
08-09-2025,Gujarat,Ahmadabad,380024,1,0,0
08-09-2025,Gujarat,Ahmadabad,382345,1,0,0
08-09-2025,Gujarat,Ahmadabad,382481,0,1,0
09-09-2025,Gujarat,Ahmadabad,380021,1,0,0
09-09-2025,Gujarat,Ahmadabad,380061,1,0,0
10-09-2025,Gujarat,Ahmadabad,380001,2,1,0
10-09-2025,Gujarat,Ahmadabad,380013,1,1,0
10-09-2025,Gujarat,Ahmadabad,380026,1,0,0
11-09-2025,Gujarat,Ahmadabad,380027,1,0,0
11-09-2025,Gujarat,Ahmadabad,382425,1,0,0
12-09-2025,Gujarat,Ahmadabad,380021,1,1,0
12-09-2025,Gujarat,Ahmadabad,380061,1,0,0
15-09-2025,Gujarat,Ahmadabad,380050,1,2,0
13-09-2025,Gujarat,Ahmadabad,380001,1,0,0
13-09-2025,Gujarat,Ahmadabad,380016,1,0,0
13-09-2025,Gujarat,Ahmadabad,380061,1,0,0
16-09-2025,Gujarat,Ahmadabad,380061,1,0,0
17-09-2025,Gujarat,Ahmadabad,380001,4,1,0
17-09-2025,Gujarat,Ahmadabad,380061,1,0,0
20-09-2025,Gujarat,Ahmadabad,382340,0,2,0
20-09-2025,Gujarat,Ahmadabad,382345,2,2,0
18-09-2025,Gujarat,Ahmadabad,382330,1,0,0
22-09-2025,Gujarat,Ahmadabad,380055,0,1,0
22-09-2025,Gujarat,Ahmadabad,382330,1,0,0
23-09-2025,Gujarat,Ahmadabad,380001,1,1,0
23-09-2025,Gujarat,Ahmadabad,380026,0,1,0
24-09-2025,Gujarat,Ahmadabad,380004,2,1,0
27-09-2025,Gujarat,Ahmadabad,382345,0,1,0
13-10-2025,Gujarat,Ahmadabad,380013,1,2,0
13-10-2025,Gujarat,Ahmadabad,382481,1,0,0
15-10-2025,Gujarat,Ahmadabad,382340,1,0,0
15-10-2025,Gujarat,Ahmadabad,387810,1,0,0
16-10-2025,Gujarat,Ahmadabad,380058,2,0,0
16-10-2025,Gujarat,Ahmadabad,382350,1,0,0
18-10-2025,Gujarat,Ahmadabad,380001,1,0,0
17-10-2025,Gujarat,Ahmadabad,380001,1,0,0
17-10-2025,Gujarat,Ahmadabad,380028,1,2,0
17-10-2025,Gujarat,Ahmadabad,382345,0,1,0
17-10-2025,Gujarat,Ahmadabad,382481,1,0,0
24-10-2025,Gujarat,Ahmadabad,380016,1,0,0
24-10-2025,Gujarat,Ahmadabad,380051,0,1,0
24-10-2025,Gujarat,Ahmadabad,382475,1,0,0
27-10-2025,Gujarat,Ahmadabad,382350,1,0,0
28-10-2025,Gujarat,Ahmadabad,380008,0,1,0
25-10-2025,Gujarat,Ahmadabad,380009,1,0,0
30-10-2025,Gujarat,Ahmadabad,380001,1,1,0
30-10-2025,Gujarat,Ahmadabad,380028,0,1,0
30-10-2025,Gujarat,Ahmadabad,382481,1,0,0
05-11-2025,Gujarat,Ahmadabad,380022,0,1,0
08-11-2025,Gujarat,Ahmadabad,380001,3,0,0
08-11-2025,Gujarat,Ahmadabad,380028,0,2,0
07-11-2025,Gujarat,Ahmadabad,382110,0,1,0
07-11-2025,Gujarat,Ahmadabad,382425,1,0,0
09-11-2025,Gujarat,Ahmadabad,382330,1,0,0
09-11-2025,Gujarat,Ahmadabad,382440,1,0,0
10-11-2025,Gujarat,Ahmadabad,380008,1,1,0
10-11-2025,Gujarat,Ahmadabad,380051,1,0,0
10-11-2025,Gujarat,Ahmadabad,382481,1,0,0
14-11-2025,Gujarat,Ahmadabad,380006,1,0,0
14-11-2025,Gujarat,Ahmadabad,380007,1,0,0
14-11-2025,Gujarat,Ahmadabad,380024,1,0,0
14-11-2025,Gujarat,Ahmadabad,380026,1,0,0
14-11-2025,Gujarat,Ahmadabad,382449,1,0,0
13-11-2025,Gujarat,Ahmadabad,380026,1,0,0
13-11-2025,Gujarat,Ahmadabad,382480,0,1,0
13-11-2025,Gujarat,Ahmadabad,382481,0,1,0
31-10-2025,Gujarat,Ahmadabad,380061,1,1,0
31-10-2025,Gujarat,Ahmadabad,382460,1,0,0
01-11-2025,Gujarat,Ahmadabad,380004,2,0,0
